ligand	receptor	ligand_uniprot	receptor_uniprot database
GAD2_SLC6A13	GABRA1_GABRB2_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P14867_P18507_P47870	Cpdb_v4.1
GAD2_SLC6A13	GABRA1_GABRB2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P14867_P47870	Cpdb_v4.1
GAD2_SLC6A13	GABRA1_GABRB3	COMPLEX:Q05329_Q9NSD5	COMPLEX:P14867_P28472	Cpdb_v4.1
GAD2_SLC6A13	GABRA1_GABRB2_GABRD	COMPLEX:Q05329_Q9NSD5	COMPLEX:O14764_P14867_P47870	Cpdb_v4.1
GAD2_SLC6A13	GABRA2_GABRB3_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P18507_P28472_P47869	Cpdb_v4.1
GAD2_SLC6A13	GABRA3_GABRB3_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P18507_P28472_P34903	Cpdb_v4.1
GAD2_SLC6A13	GABRA3_GABRB3_GABRQ	COMPLEX:Q05329_Q9NSD5	COMPLEX:P28472_P34903_Q9UN88	Cpdb_v4.1
GAD2_SLC6A13	GABRA3_GABRB3_GABRE	COMPLEX:Q05329_Q9NSD5	COMPLEX:P28472_P34903_P78334	Cpdb_v4.1
GAD2_SLC6A13	GABRA4_GABRB3_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P18507_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A13	GABRA4_GABRB3_GABRD	COMPLEX:Q05329_Q9NSD5	COMPLEX:O14764_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A13	GABRA4_GABRB2_GABRD	COMPLEX:Q05329_Q9NSD5	COMPLEX:O14764_P47870_P48169	Cpdb_v4.1
GAD2_SLC6A13	GABRA5_GABRB3_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P18507_P28472_P31644	Cpdb_v4.1
GAD2_SLC6A13	GABRA6_GABRB3_GABRG2	COMPLEX:Q05329_Q9NSD5	COMPLEX:P18507_P28472_Q16445	Cpdb_v4.1
GAD2_SLC6A13	GABRA6_GABRB3_GABRD	COMPLEX:Q05329_Q9NSD5	COMPLEX:O14764_P28472_Q16445	Cpdb_v4.1
GAD2_SLC6A6	GABRA1_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P14867_P18507_P28472	Cpdb_v4.1
GAD2_SLC6A6	GABRA1_GABRB2_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P14867_P18507_P47870	Cpdb_v4.1
GAD2_SLC6A6	GABRA1_GABRB2	COMPLEX:P31641_Q05329	COMPLEX:P14867_P47870	Cpdb_v4.1
GAD2_SLC6A6	GABRA1_GABRB3	COMPLEX:P31641_Q05329	COMPLEX:P14867_P28472	Cpdb_v4.1
GAD2_SLC6A6	GABRA1_GABRB2_GABRD	COMPLEX:P31641_Q05329	COMPLEX:O14764_P14867_P47870	Cpdb_v4.1
GAD2_SLC6A6	GABRA2_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P18507_P28472_P47869	Cpdb_v4.1
GAD2_SLC6A6	GABRA3_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P18507_P28472_P34903	Cpdb_v4.1
GAD2_SLC6A6	GABRA3_GABRB3_GABRQ	COMPLEX:P31641_Q05329	COMPLEX:P28472_P34903_Q9UN88	Cpdb_v4.1
GAD2_SLC6A6	GABRA3_GABRB3_GABRE	COMPLEX:P31641_Q05329	COMPLEX:P28472_P34903_P78334	Cpdb_v4.1
GAD2_SLC6A6	GABRA4_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P18507_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A6	GABRA4_GABRB3_GABRD	COMPLEX:P31641_Q05329	COMPLEX:O14764_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A6	GABRA4_GABRB2_GABRD	COMPLEX:P31641_Q05329	COMPLEX:O14764_P47870_P48169	Cpdb_v4.1
GAD2_SLC6A6	GABRA5_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P18507_P28472_P31644	Cpdb_v4.1
GAD2_SLC6A6	GABRA6_GABRB3_GABRG2	COMPLEX:P31641_Q05329	COMPLEX:P18507_P28472_Q16445	Cpdb_v4.1
GAD2_SLC6A6	GABRA6_GABRB3_GABRD	COMPLEX:P31641_Q05329	COMPLEX:O14764_P28472_Q16445	Cpdb_v4.1
GAD2_SLC6A8	GABRA1_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P14867_P18507_P28472	Cpdb_v4.1
GAD2_SLC6A8	GABRA1_GABRB2_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P14867_P18507_P47870	Cpdb_v4.1
GAD2_SLC6A8	GABRA1_GABRB2	COMPLEX:P48029_Q05329	COMPLEX:P14867_P47870	Cpdb_v4.1
GAD2_SLC6A8	GABRA1_GABRB3	COMPLEX:P48029_Q05329	COMPLEX:P14867_P28472	Cpdb_v4.1
GAD2_SLC6A8	GABRA1_GABRB2_GABRD	COMPLEX:P48029_Q05329	COMPLEX:O14764_P14867_P47870	Cpdb_v4.1
GAD2_SLC6A8	GABRA2_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P18507_P28472_P47869	Cpdb_v4.1
GAD2_SLC6A8	GABRA3_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P18507_P28472_P34903	Cpdb_v4.1
GAD2_SLC6A8	GABRA3_GABRB3_GABRQ	COMPLEX:P48029_Q05329	COMPLEX:P28472_P34903_Q9UN88	Cpdb_v4.1
GAD2_SLC6A8	GABRA3_GABRB3_GABRE	COMPLEX:P48029_Q05329	COMPLEX:P28472_P34903_P78334	Cpdb_v4.1
GAD2_SLC6A8	GABRA4_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P18507_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A8	GABRA4_GABRB3_GABRD	COMPLEX:P48029_Q05329	COMPLEX:O14764_P28472_P48169	Cpdb_v4.1
GAD2_SLC6A8	GABRA4_GABRB2_GABRD	COMPLEX:P48029_Q05329	COMPLEX:O14764_P47870_P48169	Cpdb_v4.1
GAD2_SLC6A8	GABRA5_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P18507_P28472_P31644	Cpdb_v4.1
GAD2_SLC6A8	GABRA6_GABRB3_GABRG2	COMPLEX:P48029_Q05329	COMPLEX:P18507_P28472_Q16445	Cpdb_v4.1
GAD2_SLC6A8	GABRA6_GABRB3_GABRD	COMPLEX:P48029_Q05329	COMPLEX:O14764_P28472_Q16445	Cpdb_v4.1
SHMT1_SLC6A5	GLRA1_GLRB	COMPLEX:P34896_Q9Y345	COMPLEX:P23415_P48167	Cpdb_v4.1
SHMT1_SLC6A5	GLRA2	COMPLEX:P34896_Q9Y345	P23416	Cpdb_v4.1
SHMT1_SLC6A9	GLRA1_GLRB	COMPLEX:P34896_P48067	COMPLEX:P23415_P48167	Cpdb_v4.1
SHMT1_SLC6A9	GLRA2	COMPLEX:P34896_P48067	P23416	Cpdb_v4.1
SHMT2_SLC6A5	GLRA1_GLRB	COMPLEX:P34897_Q9Y345	COMPLEX:P23415_P48167	Cpdb_v4.1
SHMT2_SLC6A5	GLRA2	COMPLEX:P34897_Q9Y345	P23416	Cpdb_v4.1
SHMT2_SLC6A9	GLRA1_GLRB	COMPLEX:P34897_P48067	COMPLEX:P23415_P48167	Cpdb_v4.1
SHMT2_SLC6A9	GLRA2	COMPLEX:P34897_P48067	P23416	Cpdb_v4.1
SDC1	ADGRA2	P18827	Q96PE1	Cpdb_v4.1
SDC2	ADGRA2	P34741	Q96PE1	Cpdb_v4.1
ITGAV_ITGB3	ADGRA2	COMPLEX:P05106_P06756	Q96PE1	Cpdb_v4.1
TAX1BP3	ADGRB1	O14907	O14514	Cpdb_v4.1
ITGAV_ITGB5	ADGRB1	COMPLEX:P06756_P18084	O14514	Cpdb_v4.1
TAX1BP3	ADGRB2	O14907	O60241	Cpdb_v4.1
C1QL1	ADGRB3	O75973	O60242	Cpdb_v4.1
C1QL2	ADGRB3	Q7Z5L3	O60242	Cpdb_v4.1
C1QL3	ADGRB3	Q5VWW1	O60242	Cpdb_v4.1
C1QL4	ADGRB3	Q86Z23	O60242	Cpdb_v4.1
THY1	ADGRE2	P04216	Q9UHX3	Cpdb_v4.1
ITGAV_ITGB1	ADGRE2	COMPLEX:P05556_P06756	Q9UHX3	Cpdb_v4.1
ITGAV_ITGB3	ADGRE2	COMPLEX:P05106_P06756	Q9UHX3	Cpdb_v4.1
THY1	ADGRE5	P04216	P48960	Cpdb_v4.1
ITGAV_ITGB1	ADGRE5	COMPLEX:P05556_P06756	P48960	Cpdb_v4.1
ITGAV_ITGB3	ADGRE5	COMPLEX:P05106_P06756	P48960	Cpdb_v4.1
SFTPD	ADGRE5	P35247	P48960	Cpdb_v4.1
COL3A1	ADGRG1	P02461	Q9Y653	Cpdb_v4.1
GAST	ADGRG1	P01350	Q9Y653	Cpdb_v4.1
COL4A1	ADGRG6	P02462	Q86SQ4	Cpdb_v4.1
COL4A2	ADGRG6	P08572	Q86SQ4	Cpdb_v4.1
COL4A3	ADGRG6	Q01955	Q86SQ4	Cpdb_v4.1
COL4A4	ADGRG6	P53420	Q86SQ4	Cpdb_v4.1
COL4A5	ADGRG6	P29400	Q86SQ4	Cpdb_v4.1
COL4A6	ADGRG6	Q14031	Q86SQ4	Cpdb_v4.1
LAMA2	ADGRG6	P24043	Q86SQ4	Cpdb_v4.1
PRNP	ADGRG6	F7VJQ1	Q86SQ4	Cpdb_v4.1
FLRT1	ADGRL1	Q9NZU1	O94910	Cpdb_v4.1
FLRT2	ADGRL1	O43155	O94910	Cpdb_v4.1
NRXN1	ADGRL1	Q9ULB1	O94910	Cpdb_v4.1
NRXN2	ADGRL1	P58401	O94910	Cpdb_v4.1
NRXN3	ADGRL1	Q9HDB5	O94910	Cpdb_v4.1
TENM1	ADGRL1	Q9UKZ4	O94910	Cpdb_v4.1
TENM2	ADGRL1	Q9NT68	O94910	Cpdb_v4.1
TENM3	ADGRL1	Q9P273	O94910	Cpdb_v4.1
TENM4	ADGRL1	Q6N022	O94910	Cpdb_v4.1
FLRT3	ADGRL2	Q9NZU0	O95490	Cpdb_v4.1
TENM1	ADGRL2	Q9UKZ4	O95490	Cpdb_v4.1
TENM2	ADGRL2	Q9NT68	O95490	Cpdb_v4.1
TENM3	ADGRL2	Q9P273	O95490	Cpdb_v4.1
TENM4	ADGRL2	Q6N022	O95490	Cpdb_v4.1
FLRT1	ADGRL3	Q9NZU1	Q9HAR2	Cpdb_v4.1
FLRT2	ADGRL3	O43155	Q9HAR2	Cpdb_v4.1
FLRT3	ADGRL3	Q9NZU0	Q9HAR2	Cpdb_v4.1
TENM1	ADGRL3	Q9UKZ4	Q9HAR2	Cpdb_v4.1
TENM2	ADGRL3	Q9NT68	Q9HAR2	Cpdb_v4.1
TENM3	ADGRL3	Q9P273	Q9HAR2	Cpdb_v4.1
TENM4	ADGRL3	Q6N022	Q9HAR2	Cpdb_v4.1
NT5E_SLC29A1	ADORA1	COMPLEX:P21589_Q99808	P30542	Cpdb_v4.1
NT5E_SLC29A2	ADORA1	COMPLEX:P21589_Q14542	P30542	Cpdb_v4.1
NT5E_SLC29A3	ADORA1	COMPLEX:P21589_Q9BZD2	P30542	Cpdb_v4.1
NT5E_SLC29A4	ADORA1	COMPLEX:P21589_Q7RTT9	P30542	Cpdb_v4.1
NT5E_SLC29A1	ADORA2A	COMPLEX:P21589_Q99808	P29274	Cpdb_v4.1
NT5E_SLC29A2	ADORA2A	COMPLEX:P21589_Q14542	P29274	Cpdb_v4.1
NT5E_SLC29A3	ADORA2A	COMPLEX:P21589_Q9BZD2	P29274	Cpdb_v4.1
NT5E_SLC29A4	ADORA2A	COMPLEX:P21589_Q7RTT9	P29274	Cpdb_v4.1
NT5E_SLC29A1	ADORA2B	COMPLEX:P21589_Q99808	P29275	Cpdb_v4.1
NT5E_SLC29A2	ADORA2B	COMPLEX:P21589_Q14542	P29275	Cpdb_v4.1
NT5E_SLC29A3	ADORA2B	COMPLEX:P21589_Q9BZD2	P29275	Cpdb_v4.1
NT5E_SLC29A4	ADORA2B	COMPLEX:P21589_Q7RTT9	P29275	Cpdb_v4.1
NT5E_SLC29A1	ADORA3	COMPLEX:P21589_Q99808	P0DMS8	Cpdb_v4.1
NT5E_SLC29A2	ADORA3	COMPLEX:P21589_Q14542	P0DMS8	Cpdb_v4.1
NT5E_SLC29A3	ADORA3	COMPLEX:P21589_Q9BZD2	P0DMS8	Cpdb_v4.1
NT5E_SLC29A4	ADORA3	COMPLEX:P21589_Q7RTT9	P0DMS8	Cpdb_v4.1
PNMT_SLC18A1	ADRA1A	COMPLEX:P11086_P54219	P35348	Cpdb_v4.1
PNMT_SLC18A2	ADRA1A	COMPLEX:P11086_Q05940	P35348	Cpdb_v4.1
DBH_SLC18A1	ADRA1A	COMPLEX:P09172_P54219	P35348	Cpdb_v4.1
DBH_SLC18A2	ADRA1A	COMPLEX:P09172_Q05940	P35348	Cpdb_v4.1
DBH_SLC6A2	ADRA1A	COMPLEX:P09172_P23975	P35348	Cpdb_v4.1
PNMT_SLC18A1	ADRA1B	COMPLEX:P11086_P54219	P35368	Cpdb_v4.1
PNMT_SLC18A2	ADRA1B	COMPLEX:P11086_Q05940	P35368	Cpdb_v4.1
DBH_SLC18A1	ADRA1B	COMPLEX:P09172_P54219	P35368	Cpdb_v4.1
DBH_SLC18A2	ADRA1B	COMPLEX:P09172_Q05940	P35368	Cpdb_v4.1
DBH_SLC6A2	ADRA1B	COMPLEX:P09172_P23975	P35368	Cpdb_v4.1
PNMT_SLC18A1	ADRA1D	COMPLEX:P11086_P54219	P25100	Cpdb_v4.1
PNMT_SLC18A2	ADRA1D	COMPLEX:P11086_Q05940	P25100	Cpdb_v4.1
DBH_SLC18A1	ADRA1D	COMPLEX:P09172_P54219	P25100	Cpdb_v4.1
DBH_SLC18A2	ADRA1D	COMPLEX:P09172_Q05940	P25100	Cpdb_v4.1
DBH_SLC6A2	ADRA1D	COMPLEX:P09172_P23975	P25100	Cpdb_v4.1
PNMT_SLC18A1	ADRA2A	COMPLEX:P11086_P54219	P08913	Cpdb_v4.1
PNMT_SLC18A2	ADRA2A	COMPLEX:P11086_Q05940	P08913	Cpdb_v4.1
DBH_SLC18A1	ADRA2A	COMPLEX:P09172_P54219	P08913	Cpdb_v4.1
DBH_SLC18A2	ADRA2A	COMPLEX:P09172_Q05940	P08913	Cpdb_v4.1
DBH_SLC6A2	ADRA2A	COMPLEX:P09172_P23975	P08913	Cpdb_v4.1
PNMT_SLC18A1	ADRA2B	COMPLEX:P11086_P54219	P18089	Cpdb_v4.1
PNMT_SLC18A2	ADRA2B	COMPLEX:P11086_Q05940	P18089	Cpdb_v4.1
DBH_SLC18A1	ADRA2B	COMPLEX:P09172_P54219	P18089	Cpdb_v4.1
DBH_SLC18A2	ADRA2B	COMPLEX:P09172_Q05940	P18089	Cpdb_v4.1
DBH_SLC6A2	ADRA2B	COMPLEX:P09172_P23975	P18089	Cpdb_v4.1
PNMT_SLC18A1	ADRA2C	COMPLEX:P11086_P54219	P18825	Cpdb_v4.1
PNMT_SLC18A2	ADRA2C	COMPLEX:P11086_Q05940	P18825	Cpdb_v4.1
DBH_SLC18A1	ADRA2C	COMPLEX:P09172_P54219	P18825	Cpdb_v4.1
DBH_SLC18A2	ADRA2C	COMPLEX:P09172_Q05940	P18825	Cpdb_v4.1
DBH_SLC6A2	ADRA2C	COMPLEX:P09172_P23975	P18825	Cpdb_v4.1
PNMT_SLC18A1	ADRB1	COMPLEX:P11086_P54219	P08588	Cpdb_v4.1
PNMT_SLC18A2	ADRB1	COMPLEX:P11086_Q05940	P08588	Cpdb_v4.1
DBH_SLC18A1	ADRB1	COMPLEX:P09172_P54219	P08588	Cpdb_v4.1
DBH_SLC18A2	ADRB1	COMPLEX:P09172_Q05940	P08588	Cpdb_v4.1
DBH_SLC6A2	ADRB1	COMPLEX:P09172_P23975	P08588	Cpdb_v4.1
PNMT_SLC18A1	ADRB2	COMPLEX:P11086_P54219	P07550	Cpdb_v4.1
PNMT_SLC18A2	ADRB2	COMPLEX:P11086_Q05940	P07550	Cpdb_v4.1
DBH_SLC18A1	ADRB2	COMPLEX:P09172_P54219	P07550	Cpdb_v4.1
DBH_SLC18A2	ADRB2	COMPLEX:P09172_Q05940	P07550	Cpdb_v4.1
DBH_SLC6A2	ADRB2	COMPLEX:P09172_P23975	P07550	Cpdb_v4.1
PNMT_SLC18A1	ADRB3	COMPLEX:P11086_P54219	P13945	Cpdb_v4.1
PNMT_SLC18A2	ADRB3	COMPLEX:P11086_Q05940	P13945	Cpdb_v4.1
DBH_SLC18A1	ADRB3	COMPLEX:P09172_P54219	P13945	Cpdb_v4.1
DBH_SLC18A2	ADRB3	COMPLEX:P09172_Q05940	P13945	Cpdb_v4.1
DBH_SLC6A2	ADRB3	COMPLEX:P09172_P23975	P13945	Cpdb_v4.1
GAST	CCKAR	P01350	P32238	Cpdb_v4.1
CHAT_SLC10A4	CHRM1	COMPLEX:P28329_Q96EP9	P11229	Cpdb_v4.1
CHAT_SLC18A3	CHRM1	COMPLEX:P28329_Q16572	P11229	Cpdb_v4.1
CHAT_SLC5A7	CHRM1	COMPLEX:P28329_Q9GZV3	P11229	Cpdb_v4.1
CHAT_SLC10A4	CHRM2	COMPLEX:P28329_Q96EP9	P08172	Cpdb_v4.1
CHAT_SLC18A3	CHRM2	COMPLEX:P28329_Q16572	P08172	Cpdb_v4.1
CHAT_SLC5A7	CHRM2	COMPLEX:P28329_Q9GZV3	P08172	Cpdb_v4.1
CHAT_SLC10A4	CHRM3	COMPLEX:P28329_Q96EP9	P20309	Cpdb_v4.1
CHAT_SLC18A3	CHRM3	COMPLEX:P28329_Q16572	P20309	Cpdb_v4.1
CHAT_SLC5A7	CHRM3	COMPLEX:P28329_Q9GZV3	P20309	Cpdb_v4.1
CHAT_SLC10A4	CHRM4	COMPLEX:P28329_Q96EP9	P08173	Cpdb_v4.1
CHAT_SLC18A3	CHRM4	COMPLEX:P28329_Q16572	P08173	Cpdb_v4.1
CHAT_SLC5A7	CHRM4	COMPLEX:P28329_Q9GZV3	P08173	Cpdb_v4.1
CHAT_SLC10A4	CHRM5	COMPLEX:P28329_Q96EP9	P08912	Cpdb_v4.1
CHAT_SLC18A3	CHRM5	COMPLEX:P28329_Q16572	P08912	Cpdb_v4.1
CHAT_SLC5A7	CHRM5	COMPLEX:P28329_Q9GZV3	P08912	Cpdb_v4.1
LTC4S	CYSLTR1	Q16873	Q9Y271	Cpdb_v4.1
GGT1	CYSLTR1	P19440	Q9Y271	Cpdb_v4.1
LTC4S	CYSLTR2	Q16873	Q9NS75	Cpdb_v4.1
GGT1	CYSLTR2	P19440	Q9NS75	Cpdb_v4.1
DPEP1	CYSLTR2	P16444	Q9NS75	Cpdb_v4.1
DPEP2	CYSLTR2	Q9H4A9	Q9NS75	Cpdb_v4.1
DPEP3	CYSLTR2	Q9H4B8	Q9NS75	Cpdb_v4.1
NRXN1	DAG1	Q9ULB1	Q14118	Cpdb_v4.1
NRXN2	DAG1	P58401	Q14118	Cpdb_v4.1
NRXN3	DAG1	Q9HDB5	Q14118	Cpdb_v4.1
DDC_SLC18A1	DRD1	COMPLEX:P20711_P54219	P21728	Cpdb_v4.1
DDC_SLC18A2	DRD1	COMPLEX:P20711_Q05940	P21728	Cpdb_v4.1
DDC_SLC6A3	DRD1	COMPLEX:P20711_Q01959	P21728	Cpdb_v4.1
DDC_SLC18A1	DRD2	COMPLEX:P20711_P54219	P14416	Cpdb_v4.1
DDC_SLC18A2	DRD2	COMPLEX:P20711_Q05940	P14416	Cpdb_v4.1
DDC_SLC6A3	DRD2	COMPLEX:P20711_Q01959	P14416	Cpdb_v4.1
DDC_SLC18A1	DRD3	COMPLEX:P20711_P54219	P35462	Cpdb_v4.1
DDC_SLC18A2	DRD3	COMPLEX:P20711_Q05940	P35462	Cpdb_v4.1
DDC_SLC6A3	DRD3	COMPLEX:P20711_Q01959	P35462	Cpdb_v4.1
DDC_SLC18A1	DRD4	COMPLEX:P20711_P54219	P21917	Cpdb_v4.1
DDC_SLC18A2	DRD4	COMPLEX:P20711_Q05940	P21917	Cpdb_v4.1
DDC_SLC6A3	DRD4	COMPLEX:P20711_Q01959	P21917	Cpdb_v4.1
DDC_SLC18A1	DRD5	COMPLEX:P20711_P54219	P21918	Cpdb_v4.1
DDC_SLC18A2	DRD5	COMPLEX:P20711_Q05940	P21918	Cpdb_v4.1
DDC_SLC6A3	DRD5	COMPLEX:P20711_Q01959	P21918	Cpdb_v4.1
CTSG	FPR1	P08311	P21462	Cpdb_v4.1;Mihaela2017
GAD1_SLC32A1	GABBR1	COMPLEX:Q99259_Q9H598	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A1	GABBR1	COMPLEX:P30531_Q99259	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A11	GABBR1	COMPLEX:P48066_Q99259	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A12	GABBR1	COMPLEX:P48065_Q99259	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A13	GABBR1	COMPLEX:Q99259_Q9NSD5	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A6	GABBR1	COMPLEX:P31641_Q99259	Q9UBS5	Cpdb_v4.1
GAD1_SLC6A8	GABBR1	COMPLEX:P48029_Q99259	Q9UBS5	Cpdb_v4.1
GAD2_SLC32A1	GABBR1	COMPLEX:Q05329_Q9H598	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A1	GABBR1	COMPLEX:P30531_Q05329	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A11	GABBR1	COMPLEX:P48066_Q05329	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A12	GABBR1	COMPLEX:P48065_Q05329	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A13	GABBR1	COMPLEX:Q05329_Q9NSD5	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A6	GABBR1	COMPLEX:P31641_Q05329	Q9UBS5	Cpdb_v4.1
GAD2_SLC6A8	GABBR1	COMPLEX:P48029_Q05329	Q9UBS5	Cpdb_v4.1
GAD1_SLC32A1	GABBR2	COMPLEX:Q99259_Q9H598	O75899	Cpdb_v4.1
GAD1_SLC6A1	GABBR2	COMPLEX:P30531_Q99259	O75899	Cpdb_v4.1
GAD1_SLC6A11	GABBR2	COMPLEX:P48066_Q99259	O75899	Cpdb_v4.1
GAD1_SLC6A12	GABBR2	COMPLEX:P48065_Q99259	O75899	Cpdb_v4.1
GAD1_SLC6A13	GABBR2	COMPLEX:Q99259_Q9NSD5	O75899	Cpdb_v4.1
GAD1_SLC6A6	GABBR2	COMPLEX:P31641_Q99259	O75899	Cpdb_v4.1
GAD1_SLC6A8	GABBR2	COMPLEX:P48029_Q99259	O75899	Cpdb_v4.1
GAD2_SLC32A1	GABBR2	COMPLEX:Q05329_Q9H598	O75899	Cpdb_v4.1
GAD2_SLC6A1	GABBR2	COMPLEX:P30531_Q05329	O75899	Cpdb_v4.1
GAD2_SLC6A11	GABBR2	COMPLEX:P48066_Q05329	O75899	Cpdb_v4.1
GAD2_SLC6A12	GABBR2	COMPLEX:P48065_Q05329	O75899	Cpdb_v4.1
GAD2_SLC6A13	GABBR2	COMPLEX:Q05329_Q9NSD5	O75899	Cpdb_v4.1
GAD2_SLC6A6	GABBR2	COMPLEX:P31641_Q05329	O75899	Cpdb_v4.1
GAD2_SLC6A8	GABBR2	COMPLEX:P48029_Q05329	O75899	Cpdb_v4.1
PENK	GHSR	P01210	Q92847	Cpdb_v4.1
GLS_SLC17A6	GRIA1	COMPLEX:O94925_Q9P2U8	P42261	Cpdb_v4.1
GLS_SLC17A7	GRIA1	COMPLEX:O94925_Q9P2U7	P42261	Cpdb_v4.1
GLS_SLC17A8	GRIA1	COMPLEX:O94925_Q8NDX2	P42261	Cpdb_v4.1
GLS_SLC1A1	GRIA1	COMPLEX:O94925_P43005	P42261	Cpdb_v4.1
GLS_SLC1A2	GRIA1	COMPLEX:O94925_P43004	P42261	Cpdb_v4.1
GLS_SLC1A3	GRIA1	COMPLEX:O94925_P43003	P42261	Cpdb_v4.1
GLS_SLC1A6	GRIA1	COMPLEX:O94925_P48664	P42261	Cpdb_v4.1
GLS_SLC1A7	GRIA1	COMPLEX:O00341_O94925	P42261	Cpdb_v4.1
GLS2_SLC17A6	GRIA1	COMPLEX:Q9P2U8_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC17A7	GRIA1	COMPLEX:Q9P2U7_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC17A8	GRIA1	COMPLEX:Q8NDX2_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC1A1	GRIA1	COMPLEX:P43005_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC1A2	GRIA1	COMPLEX:P43004_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC1A3	GRIA1	COMPLEX:P43003_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC1A6	GRIA1	COMPLEX:P48664_Q9UI32	P42261	Cpdb_v4.1
GLS2_SLC1A7	GRIA1	COMPLEX:O00341_Q9UI32	P42261	Cpdb_v4.1
GLS_SLC17A6	GRIA2	COMPLEX:O94925_Q9P2U8	P42262	Cpdb_v4.1
GLS_SLC17A7	GRIA2	COMPLEX:O94925_Q9P2U7	P42262	Cpdb_v4.1
GLS_SLC17A8	GRIA2	COMPLEX:O94925_Q8NDX2	P42262	Cpdb_v4.1
GLS_SLC1A1	GRIA2	COMPLEX:O94925_P43005	P42262	Cpdb_v4.1
GLS_SLC1A2	GRIA2	COMPLEX:O94925_P43004	P42262	Cpdb_v4.1
GLS_SLC1A3	GRIA2	COMPLEX:O94925_P43003	P42262	Cpdb_v4.1
GLS_SLC1A6	GRIA2	COMPLEX:O94925_P48664	P42262	Cpdb_v4.1
GLS_SLC1A7	GRIA2	COMPLEX:O00341_O94925	P42262	Cpdb_v4.1
GLS2_SLC17A6	GRIA2	COMPLEX:Q9P2U8_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC17A7	GRIA2	COMPLEX:Q9P2U7_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC17A8	GRIA2	COMPLEX:Q8NDX2_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC1A1	GRIA2	COMPLEX:P43005_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC1A2	GRIA2	COMPLEX:P43004_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC1A3	GRIA2	COMPLEX:P43003_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC1A6	GRIA2	COMPLEX:P48664_Q9UI32	P42262	Cpdb_v4.1
GLS2_SLC1A7	GRIA2	COMPLEX:O00341_Q9UI32	P42262	Cpdb_v4.1
GLS_SLC17A6	GRIA3	COMPLEX:O94925_Q9P2U8	P42263	Cpdb_v4.1
GLS_SLC17A7	GRIA3	COMPLEX:O94925_Q9P2U7	P42263	Cpdb_v4.1
GLS_SLC17A8	GRIA3	COMPLEX:O94925_Q8NDX2	P42263	Cpdb_v4.1
GLS_SLC1A1	GRIA3	COMPLEX:O94925_P43005	P42263	Cpdb_v4.1
GLS_SLC1A2	GRIA3	COMPLEX:O94925_P43004	P42263	Cpdb_v4.1
GLS_SLC1A3	GRIA3	COMPLEX:O94925_P43003	P42263	Cpdb_v4.1
GLS_SLC1A6	GRIA3	COMPLEX:O94925_P48664	P42263	Cpdb_v4.1
